applying-for-a-driver_s-licence,get-your-bc-services-card,driving-and-basic-insurance,finding-a-place-to-rent,register-for-english-classes,registering-your-child-in-a-public-school,the-interim-federal-health-program-refugees-and-refugee-claimants,contact-workers-at-your-local-settlement-agency
12833626,12833626,12833626,10351031,9493511,9508538,54741358,54924763
45758428,45758428,45758428,38578413,9491812,9508423,53414173,9491396
45758454,45758454,45758454,42387517,53171618,9506821,9487869,9493520
45758484,45758484,45758484,53414188,9508105,9508525,9491078,9508538
45758508,45758508,45758508,9491382,9506606,57757587,49950558,51630476
45758696,45758696,45758696,9491383,9510052,9508957,50444748,51432762
45758708,45758708,45758708,9492250,48932353,9508530,56116998,52760478
45758735,45758735,45758735,9492993,54789609,9491297,,9508423
45821460,45821460,45821460,9493244,45296292,41275223,,53171610
45821477,45821477,45821477,9493320,45296304,9652890,,53262555
45821487,45821487,45821487,9493415,45296322,9490384,,58455839
46016986,46016986,46016986,9493918,45296338,9487928,,58630867
46016990,46016990,46016990,9494027,45296354,9492831,,9509613
46017048,46017048,46017048,9507126,45296356,9492027,,54789631
46017057,46017057,46017057,9507127,45296374,9492058,,45296292
46017060,46017060,46017060,9507344,45296384,9509359,,45296304
46017064,46017064,46017064,9507449,45312614,57469767,,45296322
46017071,46017071,46017071,9507450,45312619,9507341,,45296338
46017151,46017151,46017151,9507669,52653673,57470362,,45296354
46017154,46017154,46017154,9507878,9492267,9508532,,45296356
46017160,46017160,46017160,9508147,9493904,9507064,,45296374
46017166,46017166,46017166,9509783,9491811,49451824,,45296384
46017167,46017167,46017167,44897790,9492261,57470261,,45312619
46017173,46017173,46017173,47927096,9507394,57470341,,58456012
46017480,46017480,46017480,47927108,9507890,57469495,,9506821
46017481,46017481,46017481,9492203,52258586,57469427,,9507549
46017483,46017483,46017483,9509030,52258600,57469115,,47944905
46439143,46439143,46439143,9509032,53927279,24377794,,9508525
46439171,46439171,46439171,,52891778,57470595,,13351577
46439175,46439175,46439175,,46512978,9491812,,51728060
46439196,46439196,46439196,,53029358,9492263,,26790338
46439203,46439203,46439203,,21061374,9506446,,45061980
46439218,46439218,46439218,,21061380,57469156,,58485339
46439230,46439230,46439230,,9491468,57470029,,9509917
46439233,46439233,46439233,,9508282,57469074,,9509920
46439237,46439237,46439237,,9508283,57470188,,57459275
46439241,46439241,46439241,,9508284,9507167,,9509593
46439249,46439249,46439249,,9509041,9510267,,53927279
46439253,46439253,46439253,,9510007,57469486,,53003784
46439258,46439258,46439258,,9510053,49225316,,54760305
46439264,46439264,46439264,,41242411,49225403,,39750959
46439266,46439266,46439266,,56641371,49430587,,52739166
46477386,46477386,46477386,,9488348,52630723,,12822502
46477401,46477401,46477401,,45981538,52630738,,20947525
46477411,46477411,46477411,,52630389,52653658,,20947526
46477423,46477423,46477423,,56641722,52654150,,20947528
46477429,46477429,46477429,,9492538,52654427,,20947529
46477431,46477431,46477431,,9488372,52665757,,20947530
46477445,46477445,46477445,,9492825,52665842,,20947531
46477450,46477450,46477450,,25145437,52704853,,20947532
46477455,46477455,46477455,,49116852,52704954,,20993369
46477464,46477464,46477464,,57757678,48677526,,20993373
46477469,46477469,46477469,,9492473,47926321,,20993374
46477472,46477472,46477472,,9507913,57470117,,20993377
46477478,46477478,46477478,,9510071,9492267,,20993379
46477482,46477482,46477482,,41242420,9492528,,20993380
46477487,46477487,46477487,,28547376,9493831,,20993381
46477495,46477495,46477495,,46654978,9507614,,20993385
46477509,46477509,46477509,,9491805,47927370,,21033989
46477514,46477514,46477514,,9492262,57470375,,21033991
46477518,46477518,46477518,,52704934,9491331,,21033992
46477523,46477523,46477523,,54679247,9491811,,21033994
46477525,46477525,46477525,,53048265,9492261,,21033995
46477528,46477528,46477528,,34503121,9493882,,21033996
46477529,46477529,46477529,,41405319,9509214,,21033997
46477530,46477530,46477530,,46512997,57470762,,21033998
46477534,46477534,46477534,,9492339,57469442,,21033999
46477538,46477538,46477538,,9492340,34675397,,32989066
46477540,46477540,46477540,,9492606,9510237,,32989087
46477542,46477542,46477542,,9492861,57607247,,50963197
46477561,46477561,46477561,,9510051,57469472,,58528666
46513007,46513007,46513007,,56641756,57469492,,9492410
46513017,46513017,46513017,,9491810,41739165,,9493727
46513023,46513023,46513023,,52258383,57469502,,9508275
46513082,46513082,46513082,,40210633,57469523,,9509991
46513084,46513084,46513084,,9492935,9507039,,49741664
46513085,46513085,46513085,,18759548,9506236,,9488348
46513088,46513088,46513088,,12990099,55641232,,41275223
46513090,46513090,46513090,,49156642,57469747,,14461389
46513092,46513092,46513092,,17057287,57469764,,52920468
46513152,46513152,46513152,,53171614,57469500,,9506310
46513553,46513553,46513553,,58370972,57469317,,9508344
46651652,46651652,46651652,,49225495,49452178,,49210750
46651717,46651717,46651717,,52630738,57469531,,20792281
46651775,46651775,46651775,,52630748,9492825,,9510005
46651806,46651806,46651806,,52653673,9509963,,9491874
46651844,46651844,46651844,,52654417,41192481,,41193188
47312916,47312916,47312916,,52665749,57469371,,9492537
47312934,47312934,47312934,,52665873,39325470,,52919958
47312938,47312938,47312938,,9493882,57469413,,9489915
47312939,47312939,47312939,,9492297,9492293,,9507077
47312943,47312943,47312943,,9509370,9492489,,57757587
47312946,47312946,47312946,,52891727,9492835,,9493502
48004053,48004053,48004053,,52891796,9493165,,9509477
48004056,48004056,48004056,,52630356,9493166,,9510298
48004064,48004064,48004064,,9508344,9508800,,58475883
48004065,48004065,48004065,,52792757,57469737,,45821467
9507543,9507543,9507543,,9509132,41801461,,9490518
9507544,9507544,9507544,,9491825,9508957,,28557119
9507545,9507545,9507545,,9489915,57469820,,9508957
9507546,9507546,9507546,,41192530,9492629,,58605990
9507548,9507548,9507548,,9490791,9509615,,17499105
9507550,9507550,9507550,,26116002,49430585,,9492597
9507551,9507551,9507551,,9509143,57469430,,54426955
9507552,9507552,9507552,,49225275,9491865,,54156188
9507553,9507553,9507553,,26790746,9492058,,9493396
9507554,9507554,9507554,,26790785,57469497,,9493400
9508454,9508454,9508454,,54426955,57469524,,47514198
9508701,9508701,9508701,,55306515,57469858,,49210986
9509036,9509036,9509036,,9490153,57470177,,49210988
9509255,9509255,9509255,,9505608,57470295,,9508249
9509256,9509256,9509256,,48464044,57470357,,58456011
9509257,9509257,9509257,,48464062,9492476,,9492695
9510060,9510060,9510060,,51265351,9815447,,9508530
9510129,9510129,9510129,,53935325,9507341,,45295946
,,,,58605990,39330154,,49225168
,,,,48932510,57469440,,9505989
,,,,48932539,57469514,,54789645
,,,,9487565,57469772,,52722142
,,,,54741358,9492205,,54679264
,,,,9509063,9493094,,9638907
,,,,9489915,57469520,,9652890
,,,,45821467,9508481,,9493064
,,,,54156188,9490403,,10672805
,,,,9509103,57469530,,34503121
,,,,52704934,41276127,,34518622
,,,,54679247,9488488,,46512997
,,,,54226508,57469771,,9492339
,,,,41666457,9491427,,9492340
,,,,47927390,17211387,,9492470
,,,,,50140875,,9492606
,,,,,57473903,,9492608
,,,,,26536995,,9492609
,,,,,51294264,,9492861
,,,,,57470096,,9508853
,,,,,57470161,,9509135
,,,,,9491417,,9509472
,,,,,57470339,,17203043
,,,,,9507574,,9488267
,,,,,57469806,,9493541
,,,,,9491297,,54038491
,,,,,,,33360288
,,,,,,,40210610
,,,,,,,48464047
,,,,,,,58443255
,,,,,,,9491297
,,,,,,,54226508
,,,,,,,53262501